,General Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do Not,Do Not,Do Not,Do Not,Do Not,Do Not,Do Not,Do Not,Do Not,Do Not,Do Not
160,VPF1BF-19G406-BA,Screw - M2.5X0.45X7.6 PAN HD TORX,,,1,,MBOM,Each,Buy,N,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,CELO S.A.,,0.0077,,,0.0077,EUR,Actual,,,FCA,,,0.0077,EUR,0.008623972,Chihuahua,,,,,0,,,0.0308,0.0308,0.0308,0.0308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0345,0.0345,0.0345,0.0345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,EP,0.0,1,0,0,183,VPF1BF-19G406-BA,Screw - M2.5X0.45X7.6 PAN HD TORX,0.009,0,CELO S.A.
170,00332706-010000,Laird Putty 508 series,,,1,,MBOM,KG,Buy,N,0.0009,0.0009,0.0009,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0036,Laird s.r.o.,,175.5,,,175.5,EUR,Actual,,,FCA,,,175.5,EUR,196.559371,Palmela EE,,,,,0,,,0.1580,0.1580,0.1580,0.1580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1769,0.1769,0.1769,0.1769,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,RM,0.0,0,1,0,30,00332706-010000,Laird Putty 508 series,0.177,0,Laird s.r.o.
180,VPRUAF-14B115-AA,BD ASY PRNT-WIR,,,1,,EBOM,Each,Make,Y,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,1.00%,0,0,0,Not PP,,,,,0,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0,0,0,0,,VPRUAF-14B115-AA,BD ASY PRNT-WIR,0.000,0,0
190,VPRUAF-14B115-BA,BD ASY PRNT-WIR,,,1,,EBOM,Each,Make,Y,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,1.00%,0,0,0,Not PP,,,,,0,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0,0,0,0,,VPRUAF-14B115-BA,BD ASY PRNT-WIR,0.000,0,0
200,VPRUAF-14B115-DA,BD ASY PRNT-WIR,,,1,,EBOM,Each,Make,Y,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,1.00%,0,0,0,Not PP,,,,,0,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0,0,0,0,,VPRUAF-14B115-DA,BD ASY PRNT-WIR,0.000,0,0
210,VPRUAF-14B115-EA,BD ASY PRNT-WIR,C10001,100_MainConnector,1,,EBOM,Each,Make,Y,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,1.00%,0,0,0,Not PP,,,,,0,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0,0,0,0,,VPRUAF-14B115-EA,BD ASY PRNT-WIR,0.000,0,0
220,VPRUAF-14A615-BA,PWB - MULTIPANEL (MOTHER),C10002,100_MainConnector,2,,PCB,Each,Ref,Y,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Usage,,,,,,0,,,,,,,,0,0,0,Not PP,,,,,0,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0,0,0,0,,VPRUAF-14A615-BA,PWB - MULTIPANEL (MOTHER),0.000,0,0
230,VPRUAF-14A608-BA,PWB - SINBLE (DAUGHTER),C10003,100_MainConnector,2,,PCB,Each,Buy,Y,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,TBD,,3.26,,,3.26,USD,Quote,,,FCA,,,3.26,USD,3.26,Violeta August/17. 4L PCB,,,3,USD,3,,,3.2600,3.2600,3.2600,3.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2600,3.2600,3.2600,3.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,EP,0.8,1,0,0,4,VPRUAF-14A608-BA,PWB - SINBLE (DAUGHTER),3.260,3,TBD
240,VPRUAF-10D952-AA,PWB - OUTLINE,C10004,100_MainConnector,2,,PCB,Each,Ref,Y,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Usage,,,,,,0,,,,,,,,0,0,0,Not PP,,,,,0,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0,0,0,0,,VPRUAF-10D952-AA,PWB - OUTLINE,0.000,0,0
250,VPRUAF-3548-BA,SCHEMATICS,C10005,100_MainConnector,2,,PCB,Each,Ref,Y,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Usage,,,,,,0,,,,,,,,0,0,0,Not PP,,,,,0,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,0.0,0,0,0,,VPRUAF-3548-BA,SCHEMATICS,0.000,0,0
